id,momeducat,age_06,info_06,comp_06,simi_06,voca_06,picc_06,pica_06,bloc_06,obje_06,age_11,info_11,comp_11,simi_11,voca_11,picc_11,pica_11,bloc_11,obje_11
12,0,6.25,22.26190476,12.94642857,6.18622449,16.89732143,12.85714286,4.041353384,2.857142857,19.48529412,10.91666667,43.69047619,39.73214286,25.31887755,28.95089286,55.71428571,28.47744361,18.44155844,41.54411765
13,0,5.583333333,23.81642512,28.57142857,11.7494824,19.13043478,21.44927536,8.187134503,1.185770751,21.65387894,11.33333333,29.61352657,28.57142857,24.17184265,38.69565217,38.84057971,43.2748538,15.41501976,34.44160273
14,1,6,23.33333333,25,21.42857143,21.25,20,14.03508772,10.90909091,29.41176471,10.66666667,55.47619048,47.95918367,44.3877551,46.69642857,78.92857143,47.86967419,22.5974026,86.13445378
15,1,5.75,17.54385965,28.94736842,10.90225564,17.82894737,26.05263158,7.386888273,2.775119617,14.55108359,10.5,35.0877193,36.46616541,14.66165414,49.40789474,47.10526316,49.86149585,58.27751196,70.27863777
16,2,5.916666667,20.43010753,35.71428571,11.17511521,24.11290323,40.08064516,11.03565365,7.595307918,35.81593928,11.08333333,46.23655914,35.71428571,38.82488479,45.88709677,44.91935484,41.5959253,26.95014663,67.12523719
17,0,6,16.66666667,3.571428571,7.142857143,17.5,10,7.01754386,14.54545455,8.823529412,10.58333333,42.12121212,50.32467533,38.31168831,36.59090909,42.72727273,45.29505582,10.5785124,40.90909091
18,0,6.416666667,25.47619048,27.93367347,17.53826531,18.19196429,28.21428571,7.706766917,4.155844156,25.47268908,11.08333333,39.76190476,35.58673469,21.36479592,24.88839286,49.64285714,41.54135338,19.74025974,72.74159664
19,1,6.25,18.94736842,9.210526316,13.34586466,16.11842105,45.2631579,8.771929825,8.803827751,61.3003096,11,40,39.28571429,32.14285714,43.75,40,43.85964912,50.90909091,70.58823529
20,1,5.75,25.43859649,19.73684211,16.16541353,18.22368421,37.10526316,26.9621422,11.29186603,56.65634675,10.5,67.54385965,57.33082707,53.7593985,57.69736842,79.21052632,74.97691597,18.94736842,72.13622291
21,1,7.333333333,1.037037037,23.25396825,-4.523809524,8.361111111,21.11111111,0.545808967,-4.121212121,11.83006536,11.08333333,72.14814815,56.58730159,52.61904762,56.69444444,54.44444444,37.97270955,24.96969697,66.73202614
22,0,5.833333333,24.73684211,32.76942356,15.53884712,17.56578947,21.40350877,8.37180671,3.732057416,14.03508772,10.58333333,66.84210526,51.56641604,53.13283208,57.03947368,63.50877193,48.99969221,61.14832536,82.14654283
23,1,6.083333333,12.92397661,24.93734336,17.73182957,24.86842105,24.29824561,6.371191136,5.039872408,32.30134159,10.83333333,37.48538012,28.69674186,25.25062657,32.7631579,66.40350877,45.15235457,29.92025518,35.39731682
