MOTHER_ED,EERI,MATH_VERB
18,3,0.9929399999999999
13,1,0.84773
13,1,0.5686
13,3,0.8864700000000001
13,2,0.7349
16,1,0.64591
14,3,0.63074
12,2,0.61185
14,2,0.51844
12,2,0.20373000000000002
14,2,0.8552299999999999
12,2,0.86187
12,2,0.68159
14,3,0.19887
12,3,0.83906
14,3,0.76363
14,2,0.11057
16,2,0.59301
16,1,0.79907
15,2,0.9808199999999999
12,1,0.38968
13,2,0.92172
12,2,0.78417
12,2,0.64764
13,2,0.9493699999999999
12,2,0.92341
12,2,0.9379000000000001
12,1,0.9127200000000001
10,1,0.21345
10,2,0.10414999999999999
13,1,0.45529000000000003
13,1,0.19890999999999998
12,1,0.05778
12,2,0.05207
11,2,0.02675
12,2,0.2437
12,2,0.0444
13,2,0.13782
16,3,0.73604
14,2,0.46246000000000004
16,3,0.8254900000000001
17,3,0.39201
18,1,0.8622
16,3,0.9348000000000001
16,3,0.92624
19,2,0.44271
20,2,0.9847899999999999
16,2,0.49811
17,2,1
17,3,0.74027
14,2,0.73351
16,2,0.7494
14,3,0.6328499999999999
16,3,1
11,1,0.10048
13,2,0.20099
13,1,0.13216
12,3,0.20881
12,1,0.21211
12,3,0.52341
12,3,0.8993300000000001
12,2,0.83174
10,1,0.58832
13,3,0.87092
12,2,0.8485299999999999
16,3,0.86944
11,2,0.59198
17,2,0.8964700000000001
15,3,0.32744
16,3,0.5864
17,2,0.83738
16,1,0.22869
16,1,0.73902
12,2,0.33169
12,3,0.8327500000000001
13,2,0.50498
17,3,0.9490099999999999
15,1,0.8829300000000001
14,3,0.8518000000000001
16,3,0.69377
12,2,0.37357
12,2,0.35720999999999997
10,1,0.032709999999999996
12,2,0.50493999999999994
13,1,0.23247
14,3,0.95321
14,2,0.94021
16,2,0.8321500000000001
12,1,0.33716
17,3,0.96354
16,3,0.78967
12,2,0.5719299999999999
16,2,0.7956300000000001
16,2,0.88993
13,3,0.7833
18,2,0.87617
16,2,0.41100000000000003
12,2,0.98307
16,1,0.37573999999999996
10,2,0.09073
12,3,0.95761
14,2,0.9392900000000001
12,2,0.20468
16,3,0.75604
12,1,0.9633400000000001
12,2,0.0068000000000000005
12,1,0.17614000000000002
12,1,0.10166
18,3,0.77235
12,0,0.13736
12,1,0.08872
4,1,0.0674
12,1,0.15021
12,1,0.056479999999999995
12,2,0.00961
13,2,0.26045
12,3,0.43999000000000005
12,2,0.50768
12,3,0.82151
14,3,0.44213
20,2,0.84423
12,2,0.34335
12,1,0.25902000000000003
12,2,0.0279
12,2,0.47397
18,3,0.96147
16,1,0.59644
12,2,0.49276000000000003
12,2,0.01069
14,2,0.6584300000000001
18,3,0.58124
18,3,0.77559
13,3,0.31243
13,2,0.24156
20,2,0.8705200000000001
14,2,0.08992000000000001
6,2,0.38482
16,2,0.93452
16,2,0.49542
14,2,0.77991
16,2,0.55649
17,2,0.96269
16,2,0.98996
16,3,0.98598
16,2,0.95589
16,2,0.53498
16,1,0.62849
16,2,0.7656000000000001
12,2,0.13078
15,2,0.28346
15,2,0.10554000000000001
18,2,0.73874
12,1,0.34832
12,1,0.42127000000000003
13,2,0.49125
14,2,0.53833
16,2,0.4582
12,1,0.9515600000000001
16,3,0.84039
16,2,0.9493699999999999
16,2,0.86558
16,2,0.54621
13,2,0.38089
12,2,0.14106
15,3,0.59316
6,2,0.33987
11,2,0.42695
12,2,0.57619
12,2,0.07928
12,2,0.29258
18,3,0.24719000000000002
14,2,0.34318
17,3,0.71025
12,1,0.5259199999999999
16,2,0.67837
12,2,0.22468
12,2,0.45247
10,1,0.24137
12,2,0.8314499999999999
14,2,0.2783
12,2,0.8182699999999999
12,2,0.87534
12,2,0.75347
12,3,0.9045300000000001
14,2,0.5939099999999999
14,2,0.9501000000000001
14,3,0.67914
14,2,0.64106
16,2,0.49520000000000003
16,2,0.63525
12,1,0.27378
11,2,0.50201
12,2,0.32802
14,2,0.5866899999999999
6,2,0.39541
13,2,0.6592100000000001
13,3,0.85962
15,1,0.046669999999999996
12,2,0.7473099999999999
12,2,0.5624
16,2,0.38139
16,2,0.80881
12,1,0.10550000000000001
16,3,0.54438
16,2,0.53933
16,3,0.63831
12,1,0.0608
12,3,0.6750400000000001
18,3,0.80619
16,3,1
15,3,0.8778199999999999
11,2,0.71904
11,2,0.51676
18,2,1
13,3,0.7659999999999999
14,3,0.8388
8,2,0.60045
12,3,0.72761
14,2,0.40836
14,1,0.11486
18,2,0.8403700000000001
14,3,0.44673999999999997
11,2,0.81829
12,3,0.30872
10,1,0.41416
4,0,0.58937
14,3,0.69314
14,3,0.81439
16,2,0.68524
18,2,0.69624
18,2,0.95557
17,2,0.8971899999999999
12,1,0.43037
14,1,0.5731499999999999
14,3,0.9328400000000001
14,2,0.89436
11,2,0.5314800000000001
16,1,0.7598600000000001
12,2,0.12621000000000002
12,2,0.27137
13,3,0.17443
12,2,0.67243
9,0,0.22261
13,2,0.7474
12,3,0.6804600000000001
12,1,0.12375
12,1,0.17884
12,1,0.19004000000000001
14,2,0.94261
12,1,0.33271
12,2,0.26271
12,1,0.43796999999999997
12,1,0.11047000000000001
15,0,0.5362899999999999
16,3,0.90154
16,3,0.65276
9,2,0.58786
14,3,0.93809
14,3,0.62018
16,3,0.19155999999999998
13,2,0.49034
13,1,0.31027
16,2,0.86563
12,3,0.82943
12,3,0.10632
14,3,0.13283
14,2,0.11463
12,1,0.19362
17,2,0.26292000000000004
17,1,0.14599
14,2,0.44904000000000005
12,2,0.59594
12,2,0.34654
12,1,0.92562
14,2,0.49511000000000005
12,2,0.57745
16,0,0.64358
16,0,0.2623
20,3,0.78293
12,2,0.13662000000000002
16,2,0.6704600000000001
12,2,0.51823
16,2,0.7607299999999999
12,2,0.7072400000000001
12,2,0.5293
12,2,0.93188
20,2,0.77983
14,2,0.56505
9,1,0.39234
13,2,0.15403
16,3,0.95854
18,1,0.99655
18,2,0.45647
10,1,0.020030000000000003
11,1,0.22994
11,1,0.091
16,3,0.91501999999999994
12,2,0.22172
16,3,0.8985500000000001
18,3,0.83526
13,2,0.3688
14,1,0.23042
14,0,0.04562
14,3,0.67733
14,3,0.34176
11,2,0.02101
11,2,0.5732200000000001
12,2,0.72197
13,2,0.46586
13,2,0.47733
20,3,0.73482
10,1,0.78908
12,2,0.45126
12,2,0.15538
12,2,0.65215
13,2,0.13666999999999999
16,2,0.9147700000000001
16,3,0.79084
12,1,0.70197
12,1,0.6472100000000001
12,2,0.71435
11,0,0.28389
13,2,0.78704
13,2,0.18279
13,2,0.75007
12,3,0.74732
16,2,0.40913
14,3,0.8963899999999999
14,2,0.72831
20,2,0.16257000000000002
16,2,0.69511
16,3,0.6001299999999999
13,3,0.80637
12,1,0.36119
9,1,0.40541
5,1,0.0767
17,1,0.70219
12,2,0.8144
13,3,0.38691000000000003
16,1,0.23068000000000002
3,0,0.11105000000000001
12,2,0.13672
12,2,0.25968
10,3,0.16651
12,2,0.49262999999999996
15,2,0.85938
14,2,0.70696
13,1,0.19745000000000001
13,2,0.5408
16,2,0.95947
12,2,0.31251
15,3,0.59661
13,1,0.79781
12,2,0.91215
12,2,0.26572
13,2,0.40825
9,1,0.72269
14,2,0.0696
18,2,0.68479
16,3,0.8977299999999999
10,1,0.42665
9,1,0.25598
12,2,0.94797
9,1,0.03894
9,1,0.34265999999999996
10,1,0.294
13,1,0.02754
12,2,0.12956
16,3,0.6555599999999999
12,1,0.6689799999999999
18,3,0.62397
15,2,0.5798
12,3,0.33291
13,2,0.86924
16,2,0.79539
12,3,0.82023
20,2,0.08766
12,2,0.28619
13,3,0.93136
13,3,0.6085499999999999
15,2,0.78365
13,3,0.9494799999999999
18,2,0.8355
18,2,0.68947
20,2,0.64563
18,3,1
16,1,0.33774
16,2,0.69759
20,2,0.7591899999999999
20,2,1
20,2,0.88577
13,2,0.6454099999999999
16,3,0.99668
14,2,0.606
13,2,0.7654900000000001
12,1,0.90204
18,1,0.81194
12,2,0.94958
12,2,0.84887
